movieId,title,avg_rating,num_votes
318,"Shawshank Redemption, The",4.43,317
858,"Godfather, The",4.29,192
2959,Fight Club,4.27,218
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.27,97
1276,Cool Hand Luke,4.27,57
1221,"Godfather: Part II, The",4.26,129
904,Rear Window,4.26,84
1213,Goodfellas,4.25,126
48516,"Departed, The",4.25,107
50,"Usual Suspects, The",4.24,204
58559,"Dark Knight, The",4.24,149
912,Casablanca,4.24,100
260,Star Wars: Episode IV - A New Hope,4.23,251
1197,"Princess Bride, The",4.23,142
527,Schindler's List,4.22,220
1196,Star Wars: Episode V - The Empire Strikes Back,4.22,211
2329,American History X,4.22,129
1208,Apocalypse Now,4.22,107
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),4.21,200
1252,Chinatown,4.21,59
296,Pulp Fiction,4.2,307
1193,One Flew Over the Cuckoo's Nest,4.2,133
1089,Reservoir Dogs,4.2,131
2571,"Matrix, The",4.19,278
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",4.18,120
1225,Amadeus,4.18,76
1199,Brazil,4.18,59
908,North by Northwest,4.18,57
356,Forrest Gump,4.16,329
593,"Silence of the Lambs, The",4.16,279
1136,Monty Python and the Holy Grail,4.16,136
7361,Eternal Sunshine of the Spotless Mind,4.16,131
4011,Snatch,4.16,93
5618,Spirited Away (Sen to Chihiro no kamikakushi),4.16,87
2028,Saving Private Ryan,4.15,188
3147,"Green Mile, The",4.15,111
2324,Life Is Beautiful (La Vita è bella),4.15,88
6016,City of God (Cidade de Deus),4.15,75
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",4.15,72
1203,12 Angry Men,4.15,57
1210,Star Wars: Episode VI - Return of the Jedi,4.14,196
68157,Inglourious Basterds,4.14,88
7153,"Lord of the Rings: The Return of the King, The",4.12,185
608,Fargo,4.12,181
4226,Memento,4.12,159
1207,To Kill a Mockingbird,4.12,58
4993,"Lord of the Rings: The Fellowship of the Ring, The",4.11,198
111,Taxi Driver,4.11,104
78499,Toy Story 3,4.11,55
541,Blade Runner,4.1,124
1222,Full Metal Jacket,4.1,102
2502,Office Space,4.09,94
1704,Good Will Hunting,4.08,141
1258,"Shining, The",4.08,109
79132,Inception,4.07,143
2858,American Beauty,4.06,204
60069,WALL·E,4.06,104
1617,L.A. Confidential,4.06,97
1247,"Graduate, The",4.06,79
1291,Indiana Jones and the Last Crusade,4.05,140
2542,"Lock, Stock & Two Smoking Barrels",4.05,67
112852,Guardians of the Galaxy,4.05,59
1270,Back to the Future,4.04,171
778,Trainspotting,4.04,102
1219,Psycho,4.04,83
923,Citizen Kane,4.04,69
81845,"King's Speech, The",4.04,58
1148,Wallace & Gromit: The Wrong Trousers,4.04,56
1215,Army of Darkness,4.04,51
110,Braveheart,4.03,237
6711,Lost in Translation,4.03,74
903,Vertigo,4.03,60
953,It's a Wonderful Life,4.03,58
5952,"Lord of the Rings: The Two Towers, The",4.02,188
293,Léon: The Professional (a.k.a. The Professional) (Léon),4.02,133
74458,Shutter Island,4.02,67
1288,This Is Spinal Tap,4.02,66
116797,The Imitation Game,4.02,50
1259,Stand by Me,4.01,91
1387,Jaws,4.01,91
48780,"Prestige, The",4.01,90
8874,Shaun of the Dead,4.01,77
910,Some Like It Hot,4.01,50
