m1,m2,common_users
318,356,168
296,318,158
296,593,152
260,1196,144
318,593,140
296,356,136
318,527,129
356,593,128
296,2571,127
260,1210,126
318,2571,125
50,296,124
296,2959,122
356,2571,122
2571,2959,122
4993,7153,121
50,318,118
260,2571,118
5952,7153,117
318,2959,116
1196,1210,116
1196,2571,116
260,1198,115
47,296,112
4993,5952,112
593,2571,110
110,318,109
110,356,109
260,296,109
296,858,109
356,527,108
2028,2571,108
1196,1198,106
296,527,105
110,296,103
260,593,103
1198,2571,103
47,593,102
527,593,102
858,1221,102
1210,2571,102
260,318,101
296,2858,101
50,593,100
260,858,100
296,1196,99
318,858,99
593,2959,99
296,608,98
356,480,98
2571,2858,98
356,2959,97
593,858,97
2571,4993,97
296,589,96
858,2571,95
2571,7153,95
110,593,93
260,356,93
589,2571,92
593,1196,92
2571,2762,92
47,318,91
296,1089,91
356,2028,91
2858,2959,91
150,318,90
318,2028,90
593,608,90
318,1196,89
50,356,88
50,2959,88
527,2571,88
1198,1291,88
2959,4993,88
50,2571,87
110,589,87
260,589,87
318,589,87
318,2858,87
318,7153,87
356,1196,87
589,1196,87
1,318,86
47,356,86
260,2028,86
356,589,86
480,589,86
593,2028,86
593,2858,86
858,2959,86
1198,1210,86
50,527,85
110,2571,85
150,356,85
296,1213,85
356,457,85
593,1198,85
858,1196,85
2571,5952,85
2959,4226,85
2959,7153,85
260,2959,84
296,1198,84
318,4993,84
356,1210,84
47,2571,83
50,858,83
260,608,83
296,1210,83
296,2329,83
318,457,83
356,2858,83
589,593,83
858,2858,83
260,1270,82
260,2858,82
260,7153,82
318,1198,82
318,1210,82
457,593,82
1196,1291,82
1,356,81
47,2959,81
50,260,81
260,4993,81
296,4993,81
318,608,81
480,593,81
2329,2959,81
2571,4226,81
32,296,80
110,480,80
260,1291,80
296,4226,80
593,2762,80
1196,2028,80
2571,3578,80
296,2028,79
296,7153,79
318,1704,79
356,364,79
356,7153,79
457,480,79
527,2959,79
1196,1270,79
1198,1270,79
1,260,78
110,457,78
296,480,78
318,4226,78
356,2762,78
593,1210,78
608,858,78
858,1198,78
1196,2959,78
260,480,77
260,1197,77
296,1221,77
318,480,77
527,2028,77
593,4993,77
858,1213,77
1089,2571,77
1196,4993,77
1196,7153,77
356,858,76
858,2028,76
1198,2028,76
1214,2571,76
2028,2959,76
2959,79132,76
47,50,75
50,2858,75
110,2028,75
296,457,75
318,2329,75
318,5952,75
318,58559,75
356,590,75
858,1210,75
1036,2571,75
1210,1270,75
1240,2571,75
2762,2959,75
2959,7361,75
1,296,74
50,1196,74
110,527,74
296,1193,74
318,79132,74
356,1270,74
356,1704,74
457,589,74
527,858,74
589,1210,74
589,1240,74
1270,2571,74
110,260,73
260,5952,73
318,3147,73
356,588,73
356,1198,73
1196,1197,73
1196,2858,73
1198,4993,73
1210,2028,73
1291,2571,73
2571,79132,73
2959,5952,73
1,593,72
32,318,72
50,608,72
50,1089,72
260,2762,72
318,1213,72
318,2762,72
589,1198,72
858,1193,72
1089,2959,72
2571,58559,72
260,1221,71
593,1214,71
593,4226,71
608,1196,71
1196,2762,71
1198,7153,71
1210,1291,71
2571,4306,71
47,110,70
260,1136,70
260,1214,70
296,2762,70
356,4993,70
364,588,70
593,1089,70
1197,1198,70
2571,7361,70
47,260,69
260,527,69
260,1240,69
293,296,69
296,5952,69
296,7361,69
589,2028,69
593,1213,69
593,7153,69
608,2858,69
1196,1214,69
1198,2959,69
2028,2762,69
2329,2571,69
58559,79132,69
32,593,68
47,527,68
318,590,68
318,1265,68
318,1270,68
318,48516,68
356,608,68
356,4306,68
480,1198,68
593,2329,68
608,2959,68
858,1089,68
1196,1240,68
1196,5952,68
2959,6874,68
47,858,67
50,1198,67
150,296,67
150,480,67
150,593,67
318,364,67
318,1193,67
356,2329,67
356,3578,67
356,5952,67
480,1196,67
608,2571,67
1089,2858,67
1210,2858,67
2959,4973,67
2959,48516,67
4306,4993,67
1,1196,66
260,1265,66
296,1704,66
296,6874,66
318,1089,66
318,1221,66
318,4306,66
318,7361,66
356,4226,66
356,79132,66
480,2571,66
608,1198,66
1198,1240,66
1198,5952,66
1210,4993,66
1213,2959,66
1265,2571,66
1704,2959,66
1,2571,65
32,260,65
47,1089,65
260,1213,65
260,3578,65
293,318,65
296,590,65
296,1136,65
296,1214,65
356,6377,65
364,480,65
480,1210,65
527,2858,65
593,1221,65
593,5952,65
858,1214,65
1036,1196,65
1136,1196,65
1200,1214,65
1200,2571,65
1221,2571,65
2028,2858,65
2762,2858,65
2858,4226,65
2959,58559,65
4306,7153,65
6539,7153,65
6874,7438,65
1,480,64
50,1213,64
50,1221,64
50,2028,64
110,1196,64
110,1210,64
260,1089,64
293,2571,64
296,1270,64
318,588,64
356,3147,64
480,588,64
589,858,64
590,593,64
593,1704,64
608,1089,64
1089,1213,64
1197,2571,64
1198,2858,64
1210,7153,64
1213,2571,64
1704,2571,64
2571,3147,64
2571,6539,64
2959,3578,64
4226,4993,64
4993,6539,64
47,1196,63
50,110,63
50,1210,63
296,364,63
296,1036,63
296,1206,63
527,1196,63
527,7153,63
593,1193,63
1198,1214,63
2571,6874,63
3578,4993,63
47,2858,62
50,4226,62
150,457,62
260,1036,62
296,778,62
296,3578,62
296,4973,62
356,1265,62
589,1291,62
593,1270,62
608,1136,62
858,2762,62
1036,1198,62
1196,1200,62
1196,1221,62
1198,3578,62
1213,1221,62
2028,7153,62
3578,7153,62
1,1198,61
1,1210,61
32,356,61
110,150,61
260,4306,61
293,2959,61
296,588,61
296,1222,61
296,1265,61
296,1291,61
296,48516,61
318,1197,61
318,3578,61
356,1193,61
527,608,61
608,1213,61
1089,1214,61
1196,4226,61
1221,2959,61
2329,2858,61
2762,7153,61
1,2762,60
47,2329,60
50,2329,60
110,590,60
110,2959,60
111,296,60
296,1197,60
296,58559,60
296,79132,60
356,4995,60
356,58559,60
364,593,60
527,1210,60
541,2571,60
593,1136,60
858,1136,60
1036,1210,60
1089,1196,60
1136,1197,60
1136,1198,60
1193,2571,60
1193,2858,60
1196,3578,60
1210,1214,60
1210,2959,60
1213,2858,60
2571,4973,60
2571,48516,60
4226,7153,60
7153,58559,60
7153,79132,60
1,527,59
32,589,59
32,1196,59
47,608,59
47,7153,59
260,1200,59
296,1258,59
318,1136,59
318,1214,59
480,2028,59
527,2762,59
527,4993,59
527,5952,59
593,79132,59
608,1210,59
608,1221,59
1036,2028,59
1136,2571,59
1193,2959,59
1197,1210,59
1210,1240,59
1240,2028,59
1270,1291,59
2028,3578,59
2028,4993,59
2571,6377,59
2959,4878,59
4306,5952,59
4306,6377,59
47,589,58
47,1198,58
47,4993,58
50,2762,58
260,541,58
293,593,58
296,541,58
296,1240,58
296,1732,58
318,1036,58
318,4973,58
356,1197,58
356,48516,58
457,527,58
541,1196,58
589,1036,58
589,1200,58
593,1197,58
593,1258,58
593,1265,58
593,1291,58
858,4226,58
1089,2028,58
1210,2762,58
1210,3578,58
1214,2028,58
1221,2858,58
1291,4993,58
2571,4963,58
2959,3147,58
4226,7361,58
5952,6539,58
1,50,57
1,364,57
1,608,57
1,2028,57
32,50,57
50,1193,57
110,858,57
110,1198,57
260,1193,57
260,4226,57
296,1208,57
296,4306,57
296,6377,57
318,4995,57
356,7361,57
480,1291,57
527,1198,57
589,1214,57
589,1270,57
593,7361,57
608,1208,57
858,4993,57
858,7153,57
1089,1221,57
1136,2959,57
1193,1221,57
1196,1213,57
1196,1265,57
1196,4306,57
1198,1221,57
1198,1265,57
1198,2762,57
1210,5952,57
1214,2858,57
2762,5952,57
2959,6377,57
3578,5952,57
4993,58559,57
7153,8961,57
1,588,56
1,589,56
1,2858,56
47,1210,56
47,2028,56
50,7153,56
150,527,56
260,457,56
260,58559,56
318,6377,56
318,6539,56
318,6874,56
356,1089,56
541,1214,56
589,2959,56
593,3147,56
593,4306,56
593,58559,56
608,1197,56
608,2028,56
778,2959,56
858,1291,56
1197,1270,56
1206,2959,56
1222,2571,56
1291,2028,56
1682,2571,56
2571,4995,56
2762,4993,56
2959,4011,56
2959,7438,56
4226,5952,56
4993,79132,56
1,110,55
1,1270,55
1,2959,55
1,4306,55
32,2571,55
47,4226,55
50,589,55
50,4993,55
111,593,55
150,589,55
296,2502,55
296,3147,55
318,1291,55
318,4886,55
356,1213,55
364,457,55
480,527,55
527,589,55
527,4226,55
588,593,55
593,1036,55
593,3578,55
858,912,55
858,1270,55
858,2329,55
858,48516,55
858,58559,55
1089,4226,55
1206,2571,55
1206,2858,55
1291,7153,55
2028,5952,55
2571,4011,55
2571,5418,55
2762,3578,55
2762,4226,55
2858,7361,55
2959,4306,55
4886,6377,55
32,47,54
47,480,54
47,1213,54
47,2762,54
50,1214,54
260,924,54
260,1097,54
296,2997,54
296,4011,54
318,1682,54
356,1036,54
356,1221,54
588,589,54
588,595,54
589,2762,54
593,1240,54
608,1193,54
608,1214,54
858,3578,54
1089,1198,54
1089,1208,54
1197,1265,54
1198,1200,54
1210,4306,54
1214,1240,54
1214,2959,54
1221,2028,54
1265,1270,54
1265,2858,54
1527,2571,54
1580,2571,54
1704,2028,54
2329,4226,54
2571,4886,54
2762,4306,54
4226,4973,54
4306,4886,54
5952,8961,54
7153,7361,54
48516,58559,54
48516,79132,54
1,858,53
110,380,53
110,7153,53
150,260,53
260,588,53
260,1208,53
318,33794,53
356,6874,53
380,593,53
457,2571,53
541,593,53
589,2858,53
608,1265,53
858,1036,53
858,1197,53
858,1206,53
858,1208,53
858,1265,53
1089,1222,53
1198,1213,53
1210,1265,53
1240,1291,53
2028,3147,53
2571,2997,53
2571,3793,53
2959,4963,53
2959,6539,53
4973,7361,53
6874,7153,53
1,150,52
1,457,52
32,110,52
47,5952,52
50,48516,52
110,364,52
223,296,52
260,912,52
260,1704,52
260,2329,52
260,2716,52
293,356,52
