movieId,title,freq
589,Terminator 2: Judgment Day,150
480,Jurassic Park,145
32,Twelve Monkeys (a.k.a. 12 Monkeys),118
1214,Alien,110
79132,Inception,107
7361,Eternal Sunshine of the Spotless Mind,105
1240,"Terminator, The",94
541,Blade Runner,88
1206,"Clockwork Orange, A",86
1200,Aliens,85
4878,Donnie Darko,77
60069,WALL·E,73
1527,"Fifth Element, The",69
44191,V for Vendetta,67
5445,Minority Report,65
1356,Star Trek: First Contact,61
5349,Spider-Man,59
48780,"Prestige, The",58
59315,Iron Man,55
72998,Avatar,53
89745,"Avengers, The",45
109487,Interstellar,45
2916,Total Recall,45
3175,Galaxy Quest,44
6333,X2: X-Men United,44
1199,Brazil,43
48774,Children of Men,42
329,Star Trek: Generations,42
112852,Guardians of the Galaxy,41
8636,Spider-Man 2,41
68358,Star Trek,41
6502,28 Days Later,40
1584,Contact,40
70286,District 9,39
33493,Star Wars: Episode III - Revenge of the Sith,39
6365,"Matrix Reloaded, The",37
2012,Back to the Future Part III,35
5378,Star Wars: Episode II - Attack of the Clones,35
134130,The Martian,35
3471,Close Encounters of the Third Kind,34
2529,Planet of the Apes,34
34405,Serenity,34
1676,Starship Troopers,34
3994,Unbreakable,34
2985,RoboCop,33
2640,Superman,33
2288,"Thing, The",32
208,Waterworld,31
1748,Dark City,30
111759,Edge of Tomorrow,30
